run,success,time_to_first_food_s,time_to_all_food_s,steps_to_first_food,steps_to_all_food,total_reward,collisions,mean_forward,mean_turning,mean_avg_irs,total_stagnation,total_no_food_steps
1,1.0,4.015763521194458,49.7600040435791,10.0,132.0,19551.828929042833,0.0,0.8334961228800896,0.3337816397162308,0.06538948132323895,181.0,1845.0
2,1.0,0.9588401317596436,31.54158091545105,4.0,140.0,19961.851717090132,0.0,0.8353161017100016,0.35824799960386666,0.06525797511001794,164.0,2546.0
3,1.0,1.730710744857788,38.187254190444946,4.0,130.0,14678.632220606494,0.0,0.8098014920722437,0.27572142617165585,0.06723499732387055,190.0,3016.0
4,1.0,2.137998580932617,55.74407410621643,6.0,142.0,19510.707146193658,0.0,0.8253798789077705,0.2871018414209773,0.063987101212476,468.0,3171.0
5,1.0,2.2996935844421387,39.943140506744385,9.0,171.0,20945.894929907954,0.0,0.8336366051158239,0.4405052484727876,0.0780835504776278,223.0,3816.0
6,1.0,2.0298452377319336,19.12083148956299,8.0,82.0,19409.10202204969,0.0,0.8805652555212917,0.40011434562234993,0.08958708102455785,67.0,705.0
7,1.0,0.7650537490844727,53.88020920753479,4.0,230.0,14504.758150521082,0.0,0.7869650868626384,0.540395862160823,0.05176508420517914,647.0,6199.0
8,1.0,3.4153363704681396,36.37133312225342,13.0,161.0,19474.409564180845,0.0,0.8266373651999014,0.3498319007778241,0.0630906925683648,276.0,3132.0
9,1.0,1.6863555908203125,19.59064269065857,7.0,91.0,18832.599848373327,0.0,0.883879119935243,0.40128021642727696,0.10403134187736605,51.0,1195.0
10,1.0,1.8817083835601807,30.265556573867798,8.0,127.0,18807.60471380895,0.0,0.8452066308818758,0.44596513055148534,0.056610535910294815,746.0,1675.0
MEAN,1.0,2.0921305894851683,37.44046268463135,7.3,140.6,18567.738924177498,0.0,0.8360883659086881,0.3832945610925277,0.0705037841032994,301.3,2730.0
STD,0.0,0.9936094856419582,12.933693004989008,2.9458068127047605,41.633853746413834,2179.3830118058604,0.0,0.02918658228941758,0.07993851714432684,0.015817234212249107,239.23119919163275,1564.8284961049956
